City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,georgetown,5.4112,100.3354,28.96,93,20,1.54,MY,1681866183
112,callao,-12.0667,-77.15,25.4,73,0,6.69,PE,1681866640
113,gizo,-8.103,156.8419,28.54,63,6,2.2,SB,1681866640
114,olonkinbyen,70.9221,-8.7187,1.7,87,49,5.72,SJ,1681866640
115,bismarck,46.8083,-100.7837,8.78,58,40,7.72,US,1681866429
116,petauke,-14.2426,31.3253,15.91,93,81,2.66,ZM,1681866641
117,badger,64.8,-147.5333,-0.27,51,75,3.6,US,1681866641
118,labytnangi,66.6572,66.4183,-11.82,85,15,3.45,RU,1681866641
119,yermakovskoye,53.2831,92.4003,-4.58,68,100,5.92,RU,1681866346
120,fort bragg,35.139,-79.006,20.91,44,0,3.09,US,1681866639
121,geraldton,-28.7667,114.6,22.23,43,0,8.75,AU,1681866642
122,okhotsk,59.3833,143.3,-0.66,74,8,6.61,RU,1681866642
123,vilyuchinsk,52.9306,158.4028,4.15,94,100,4.32,RU,1681866607
124,bethel,41.3712,-73.414,9.16,54,100,3.6,US,1681866453
125,ouezzane,34.7971,-5.5822,16.03,62,100,2.41,MA,1681866643
126,st. john's,47.5649,-52.7093,-1.13,92,100,2.24,CA,1681866613
127,sangin,32.0728,64.8359,15.05,42,0,3.17,AF,1681866343
128,undurkhaan,47.3194,110.6556,7.95,38,100,9.25,MN,1681866644
129,new norfolk,-42.7826,147.0587,12.72,70,100,0.45,AU,1681866644
130,glendive,47.1053,-104.7125,12.79,40,100,5.14,US,1681866645
131,tezu,27.9167,96.1667,29.76,31,2,0.51,IN,1681866645
132,vallenar,-28.5708,-70.7581,18.46,52,0,0.3,CL,1681866645
133,remire-montjoly,4.9167,-52.2667,24.02,100,0,0.0,GF,1681866646
134,arteche,12.2645,125.4048,28.73,77,31,3.05,PH,1681866646
135,minas de marcona,-15.2119,-75.1103,15.95,81,14,5.28,PE,1681866646
136,carbonear,47.7332,-53.2148,-0.88,87,100,4.93,CA,1681866647
137,hue,16.4667,107.6,32.06,58,20,1.54,VN,1681866647
138,urangan,-25.3,152.9,25.11,69,15,7.02,AU,1681866647
139,brookings,44.3114,-96.7984,14.19,37,0,5.66,US,1681866648
140,dudinka,69.4058,86.1778,-19.1,97,12,2.24,RU,1681866648
141,pangkalanbuun,-2.6833,111.6167,28.91,73,9,1.11,ID,1681866648
142,banket,-17.3833,30.4,14.21,89,46,2.11,ZW,1681866648
143,lihue,21.9789,-159.3672,22.77,91,100,9.26,US,1681866649
144,boguchany,58.3814,97.4531,-8.36,70,100,2.46,RU,1681866649
145,nueva esperanza,15.2667,-87.6,25.79,87,64,1.41,HN,1681866649
146,east london,-33.0153,27.9116,19.36,81,16,2.47,ZA,1681866649
147,byron bay,-28.65,153.6167,22.62,55,89,5.04,AU,1681866649
148,shimoda,34.6667,138.95,22.84,72,82,8.03,JP,1681866650
149,akjoujt,19.6969,-14.4164,25.26,30,1,5.31,MR,1681866650
150,fale old settlement,-9.3852,-171.2468,28.27,71,98,1.85,TK,1681866650
151,nemuro,43.3236,145.575,4.6,80,100,1.15,JP,1681866651
152,oroqen zizhiqi,50.5667,123.7167,5.31,38,34,1.96,CN,1681866651
153,cadale,2.7603,46.3222,28.62,73,64,3.71,SO,1681866651
154,jamestown,42.097,-79.2353,2.62,94,100,2.68,US,1681866382
155,invercargill,-46.4,168.35,14.76,63,43,2.07,NZ,1681866651
156,an nuhud,12.7,28.4333,25.22,8,24,5.05,SD,1681866652
157,howrah,22.5892,88.3103,30.0,84,75,0.0,IN,1681866652
158,east ballina,-28.8667,153.5833,22.67,57,95,5.08,AU,1681866652
159,albertina,-22.2008,-46.6158,18.12,98,100,1.61,BR,1681866652
160,richards bay,-28.783,32.0377,17.89,85,0,3.57,ZA,1681866652
161,bonga,7.2833,36.2333,16.19,98,100,0.52,ET,1681866652
162,inhambane,-23.865,35.3833,21.35,77,56,2.15,MZ,1681866653
163,queenstown,-31.8976,26.8753,15.56,35,1,2.47,ZA,1681866653
164,ola,59.5833,151.2833,0.36,69,100,7.4,RU,1681866653
165,krasnoarmeyskaya,45.3661,38.2117,11.34,81,100,4.79,RU,1681866654
166,almazan,41.4865,-2.5309,7.6,69,67,1.98,ES,1681866654
167,punta arenas,-53.15,-70.9167,9.06,81,75,6.17,CL,1681866654
168,carnarvon,-24.8667,113.6333,25.31,32,9,8.55,AU,1681866608
169,watampone,-4.5386,120.3279,28.17,77,94,0.96,ID,1681866654
170,port mathurin,-19.6833,63.4167,26.17,76,5,8.31,MU,1681866655
171,mpophomeni,-29.5682,30.1862,12.73,45,0,2.6,ZA,1681866655
172,tshikapa,-6.4167,20.8,20.85,98,97,1.09,CD,1681866655
173,mirny,62.5353,113.9611,-4.87,41,19,0.89,RU,1681866655
174,awjilah,29.1081,21.2869,16.07,55,100,6.91,LY,1681866655
175,saipan,15.1355,145.701,31.39,100,0,8.23,MP,1681866604
176,hasaki,35.7333,140.8333,20.22,69,12,2.07,JP,1681866614
177,ust-nera,64.5667,143.2,-6.03,87,97,2.16,RU,1681866656
178,kaduna,10.5222,7.4383,27.29,51,85,2.09,NG,1681866656
179,acapulco de juarez,16.8634,-99.8901,27.9,78,20,2.06,MX,1681866562
180,kirensk,57.7853,108.1119,-5.76,57,1,5.09,RU,1681866656
181,gracemere,-23.4333,150.45,26.95,44,0,4.63,AU,1681866657
182,i-n-salah,27.1935,2.4607,26.85,9,35,4.4,DZ,1681866657
183,ribeira grande,38.5167,-28.7,15.43,74,99,4.47,PT,1681866657
184,afaahiti,-17.75,-149.2833,29.48,77,100,6.65,PF,1681866657
185,mont-laurier,46.5501,-75.4993,2.0,91,99,4.37,CA,1681866657
186,necochea,-38.5473,-58.7368,13.45,68,100,6.37,AR,1681866658
